ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date|channelNameURL
W kanale|18||Komedia kryminalna|0:50|2:35|105|2016-07-04|amc
Grzeszny żywot Isabel La Negra|12||Dramat obyczajowy|2:35|4:25|112|2016-07-04|amc
Szaleństwo króla Jerzego|12||Dramat obyczajowy|4:25|0|107|2016-07-04|amc
Świat przyszłości|12||Film SF|5:05|6:50|100|2016-07-03|amc
Clifford|12||Komedia|6:50|8:20|90|2016-07-03|amc
Kangurek Joey|12||Film przygodowy|8:20|0|96|2016-07-03|amc
Inna kobieta|12||Film obyczajowy|9:55|11:15|81|2016-07-03|amc
Charlie Chan i klątwa Dragon Queen|12||Komedia|11:15|12:50|97|2016-07-03|amc
Bitwa o Anglię|12||Film wojenny|12:50|15:00|132|2016-07-03|amc
Niespełnione obietnice|12||Komedia|15:00|16:35|89|2016-07-03|amc
Narciarski patrol|12||Komedia|16:35|18:05|89|2016-07-03|amc
Inna kobieta|12||Film obyczajowy|18:05|19:25|81|2016-07-03|amc
Ludzie pracy|12||Komedia sensacyjna|19:25|21:00|94|2016-07-03|amc
Fear the Walking Dead|12||Serial grozy|21:00|21:45|0|2016-07-03|amc
Humans|12||Serial SF|21:45|22:35|0|2016-07-03|amc
Supernova|12||Film SF|22:35|0:05|90|2016-07-03|amc
Słodkie kłamstwa|16||Komedia romantyczna|0:05|1:40|93|2016-07-03|amc
Aria|12||0|1:40|3:15|0|2016-07-03|amc
Przesyłka|12||Thriller|3:15|5:00|108|2016-07-03|amc
Ludzie pracy|12||Komedia sensacyjna|5:00|0|94|2016-07-03|amc
Sezon na Szekspira|12||Serial dokumentalny|8:00|9:10|55|2016-07-05|ale_kino
KAC|12||0|9:10|9:40|0|2016-07-05|ale_kino
Anioł przy moim stole|12||Film biograficzny|9:40|0|157|2016-07-05|ale_kino
Książę|12||0|12:35|14:00|0|2016-07-05|ale_kino
Dobry agent|12||Film sensacyjny|14:00|16:55|160|2016-07-05|ale_kino
Ale krótkie po polsku|12||0|16:55|18:00|0|2016-07-05|ale_kino
Co jest grane, Davis?|12||Dramat obyczajowy|18:00|20:10|104|2016-07-05|ale_kino
Tamara i mężczyźni|12||Komediodramat|20:10|22:10|106|2016-07-05|ale_kino
Rzeka tajemnic|16||Dramat kryminalny|22:10|0:40|132|2016-07-05|ale_kino
Rzym|16||Dramat obyczajowy|0:40|2:35|113|2016-07-05|ale_kino
Szamanka|18||Dramat obyczajowy|2:35|4:30|110|2016-07-05|ale_kino
Moloch|16||0|4:30|5:05|0|2016-07-05|ale_kino
Mały palec|16||0|5:05|5:30|0|2016-07-05|ale_kino
Supernova|12||0|5:30|0|0|2016-07-05|ale_kino
Wanda Nevada|16||Western|5:55|7:40|107|2016-07-02|amc
Wymarzony kawaler|12||Komedia|7:40|9:15|84|2016-07-02|amc
Syreny|12||Komediodramat|9:15|0|110|2016-07-02|amc
Borys i Natasza|12||Komedia|11:05|12:30|88|2016-07-02|amc
Wielki ekran|12||0|12:30|12:45|0|2016-07-02|amc
Clifford|12||Komedia|12:45|14:15|90|2016-07-02|amc
Kangurek Joey|12||Film przygodowy|14:15|15:50|96|2016-07-02|amc
Charlie Chan i klątwa Dragon Queen|12||Komedia|15:50|17:25|97|2016-07-02|amc
Syreny|12||Komediodramat|17:25|19:15|110|2016-07-02|amc
Świat przyszłości|12||Film SF|19:15|21:00|100|2016-07-02|amc
Szalona wyprawa Billa i Teda|12||Komedia|21:00|22:35|93|2016-07-02|amc
Byki z Durham|16||Komedia romantyczna|22:35|0:20|108|2016-07-02|amc
Ach, te dziewczyny!|16||Film obyczajowy|0:20|1:55|94|2016-07-02|amc
Wyprawa po życie|16||Dramat obyczajowy|1:55|3:30|97|2016-07-02|amc
Słodkie kłamstwa|16||Komedia romantyczna|3:30|5:05|93|2016-07-02|amc
Świat przyszłości|12||Film SF|5:05|0|100|2016-07-02|amc
Renifer świętego Mikołaja|12||Film dla dzieci|6:00|7:40|103|2016-07-01|amc
Niesamowite przygody Super Dave'a|12||Komedia|7:40|9:10|91|2016-07-01|amc
Na ostrzu|12||Komedia romantyczna|9:10|0|101|2016-07-01|amc
Miejsce zwane domem|12||Dramat obyczajowy|10:50|12:40|110|2016-07-01|amc
Wanda Nevada|16||Western|12:40|14:25|107|2016-07-01|amc
Wymarzony kawaler|12||Komedia|14:25|16:00|84|2016-07-01|amc
Na ostrzu|12||Komedia romantyczna|16:00|17:40|101|2016-07-01|amc
Borys i Natasza|12||Komedia|17:40|19:05|88|2016-07-01|amc
Skok na Brinka|12||Komedia kryminalna|19:05|20:45|104|2016-07-01|amc
Wielki ekran|12||0|20:45|21:00|0|2016-07-01|amc
Przeciwności|16||Film obyczajowy|21:00|22:40|100|2016-07-01|amc
Fear the Walking Dead|12||Serial grozy|22:40|23:25|0|2016-07-01|amc
Valdez przybywa|12||Western|23:25|0:55|90|2016-07-01|amc
Różaniec morderstw|16||Film sensacyjny|0:55|2:40|105|2016-07-01|amc
Ach, te dziewczyny!|16||Film obyczajowy|2:40|4:15|94|2016-07-01|amc
